type,company,description,sku,diameter_in,weight_gr,sectional_density,name,product_name,bc_g1,bc_g7,bc_fn
rifle,Hornady,Hornady .224 40gr V-MAX® 22416,22416,0.224,40,0.114,22 Cal .224 40 gr V-MAX®,V-MAX®,0.2,,
rifle,Hornady,Hornady .224 45gr Varmint™ 2229,2229,0.224,45,0.128,22 Cal .224 45 gr HP BEE,Varmint™,0.108,,
rifle,Hornady,Hornady .224 45gr Varmint™ 2230,2230,0.224,45,0.128,22 Cal .224 45 gr HORNET,Varmint™,0.202,,
rifle,Hornady,Hornady .224 50gr Varmint™ 2240,2240,0.224,50,0.142,22 Cal .224 50 gr SP SX™,Varmint™,0.214,,
rifle,Hornady,Hornady .224 50gr Varmint™ 2245,2245,0.224,50,0.142,22 Cal .224 50 gr SP,Varmint™,0.214,,
rifle,Hornady,Hornady .224 50gr V-MAX® 22261,22261,0.224,50,0.142,22 Cal .224 50 gr V-MAX®,V-MAX®,0.242,,
rifle,Hornady,Hornady .224 50gr GMX® 22403,22403,0.224,50,0.142,22 Cal .224 50 gr GMX®,GMX®,0.215,,
rifle,Hornady,Hornady .224 50gr V-MAX® 22616,22616,0.224,50,0.142,22 Cal .224 50 gr V-MAX®,V-MAX®,0.242,,
rifle,Hornady,Hornady .224 52gr Match™ 2249,2249,0.224,52,0.148,22 Cal .224 52 gr BTHP,Match™,0.229,,
rifle,Hornady,Hornady .224 52gr ELD®  Match 22491,22491,0.224,52,0.148,22 Cal .224 52 gr ELD® Match,ELD®  Match,0.247,,
rifle,Hornady,Hornady .224 53gr Match™ 2250,2250,0.224,53,0.151,22 Cal .224 53 gr HP,Match™,0.218,,
rifle,Hornady,Hornady .224 53gr V-MAX® 22265,22265,0.224,53,0.151,22 Cal .224 53 gr V-MAX®,V-MAX®,0.29,,
rifle,Hornady,Hornady .224 55gr Varmint™ 2260,2260,0.224,55,0.157,22 Cal .224 55 gr SP SX™,Varmint™,0.235,,
rifle,Hornady,Hornady .224 55gr Traditional 2263B,2263B,0.224,55,0.157,22 cal .224 55 gr HP,Traditional,0.254,,
rifle,Hornady,Hornady .224 55gr Varmint™ 2265,2265,0.224,55,0.157,22 Cal .224 55 gr SP,Varmint™,0.235,,
rifle,Hornady,Hornady .224 55gr Varmint™ 2266B,2266B,0.224,55,0.157,22 Cal .224 55 gr SP with cannelure (Bulk 6,000 ct box),Varmint™,0.235,,
rifle,Hornady,Hornady .224 55gr Varmint™ 2266,2266,0.224,55,0.157,22 Cal .224 55 gr SP with cannelure,Varmint™,0.235,,
rifle,Hornady,Hornady .224 55gr Traditional 2267,2267,0.224,55,0.157,22 Cal .224 55 gr FMJ-BT with cannelure,Traditional,0.243,,
rifle,Hornady,Hornady .224 55gr Traditional 2267B,2267B,0.224,55,0.157,22 Cal .224 55 gr FMJ-BT with cannelure (Bulk 6,000 ct box),Traditional,0.243,,
rifle,Hornady,Hornady .224 55gr V-MAX® 22271,22271,0.224,55,0.157,22 Cal .224 55 gr V-MAX®,V-MAX®,0.255,,
