"type","company","description","sku","diameter_in","weight_gr","sectional_density","name","product_name","bc_g1","bc_g7","bc_fn"
"rifle","Sierra","Sierra .224 55gr Varminter 1360","1360","0.224","55","0.157",".22 Caliber (.224) High Velocity 55 gr. SPT","Varminter","","","{"".237"": [2800, null], "".239"": [1800, 2800] , "".230"": [0, 1800]}"
"rifle","Sierra","Sierra .224 55gr GameKing 1365","1365","0.224","55","0.157",".22 Caliber (.224) High Velocity 55 gr. SBT","GameKing","","","{"".250"": [3000, null], "".245"": [2000, 3000] , "".235"": [0, 2000]}"
"rifle","Sierra","Sierra .224 55gr GameKing 1390","1390","0.224","55","0.157",".22 Caliber (.224) High Velocity 55 gr. HPBT","GameKing","","","{"".185"": [2800, null], "".189"": [1800, 2800] , "".193"": [0, 1800]}"
"rifle","Sierra","Sierra .224 55gr BlitzKing 1455","1455","0.224","55","0.157",".22 Caliber (.224) High Velocity 55 gr. BlitzKing","BlitzKing","","","{"".271"": [3100, null], "".264"": [2550, 3100] , "".250"": [2050, 2550] , "".236"": [1800, 2050] , "".224"": [0, 1800]}"
"rifle","Sierra","Sierra .224 60gr Varminter 1375","1375","0.224","60","0.171",".22 Caliber (.224) High Velocity 60 gr. HP","Varminter","","","{"".246"": [2800, null], "".240"": [2000, 2800] , "".246"": [0, 2000]}"
"rifle","Sierra","Sierra .224 63gr Varminter 1370","1370","0.224","63","0.179",".22 Caliber (.224) High Velocity 63 gr. SMP","Varminter","","","{"".231"": [2800, null], "".235"": [2000, 2800] , "".240"": [0, 2000]}"
"rifle","Sierra","Sierra .224 65gr GameKing 1395","1395","0.224","65","0.185",".22 cal, 65 gr. SBT GameKing","GameKing","","","{"".303"": [2750, null], "".297"": [2450, 2750] , "".293"": [2150, 2450] , "".287"": [1150, 2150] , "".270"": [0, 1150]}"
"rifle","Sierra","Sierra .224 69gr MatchKing 1380","1380","0.224","69","0.196",".22 Caliber (.224) 69 gr. HPBT MatchKing","MatchKing","","","{"".301"": [2800, null], "".305"": [2200, 2800] , "".317"": [0, 2200]}"
"rifle","Sierra","Sierra .224 69gr Tipped MatchKing 7169","7169","0.224","69","0.196",".22 Caliber (.224) 69 gr. Tipped MatchKing (TMK)","Tipped MatchKing","","","{"".375"": [2700, null], "".365"": [1950, 2700] , "".335"": [1700, 1950] , "".305"": [0, 1700]}"
"rifle","Sierra","Sierra .224 77gr Tipped MatchKing 7177","7177","0.224","77","0.219",".22 Caliber (.224) 77 gr. Tipped MatchKing (TMK)","Tipped MatchKing","","","{"".420"": [2400, null], "".415"": [2000, 2400] , "".395"": [1750, 2000] , "".380"": [0, 1750]}"
